,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,190.78,201.11,194.21,194.3,192.47,193.82,193.02,194.3,194.58,193.7,193.51,193.3,193.38,193.72,193.12,193.45,193.6,194.09,194.12,193.48,193.31,193.54,194.06,193.38,193.34,193.76,193.6,193.35,193.94,193.76,193.8,193.57,193.74,193.58,193.63,193.56,193.65,193.65,193.61,193.29,193.45,193.79,193.53,193.77,193.5,193.71,193.61,193.67,193.51,193.78,193.61,193.62,193.62,193.73
1,-250.38,-259.03,-253.25,-252.61,-251.91,-252.37,-251.83,-253.12,-253.38,-252.47,-252.36,-252.34,-252.24,-252.64,-252.01,-252.31,-252.43,-252.91,-252.81,-252.37,-252.25,-252.45,-252.78,-252.27,-252.24,-252.62,-252.5,-252.23,-252.74,-252.6,-252.57,-252.47,-252.6,-252.44,-252.51,-252.4,-252.5,-252.5,-252.48,-252.22,-252.35,-252.61,-252.41,-252.58,-252.38,-252.56,-252.44,-252.51,-252.4,-252.64,-252.47,-252.48,-252.48,-252.56
2,-30.693,-32.918,-32.438,-32.976,-32.147,-32.86,-32.573,-32.602,-32.629,-32.642,-32.585,-32.401,-32.557,-32.524,-32.536,-32.586,-32.606,-32.613,-32.743,-32.559,-32.509,-32.526,-32.713,-32.551,-32.544,-32.572,-32.545,-32.551,-32.629,-32.595,-32.653,-32.545,-32.573,-32.576,-32.559,-32.597,-32.577,-32.577,-32.563,-32.51,-32.546,-32.617,-32.551,-32.621,-32.549,-32.58,-32.602,-32.59,-32.545,-32.574,-32.571,-32.583,-32.583,-32.605
3,-1.281,-1.4588,-1.4333,-1.5054,-1.3534,-1.4157,-1.4179,-1.4325,-1.4136,-1.4245,-1.4027,-1.4122,-1.4204,-1.4022,-1.4141,-1.4073,-1.4155,-1.4139,-1.4212,-1.4059,-1.4068,-1.4078,-1.4232,-1.4107,-1.4085,-1.4122,-1.4046,-1.4158,-1.415,-1.4107,-1.4189,-1.4084,-1.4121,-1.4135,-1.4103,-1.4154,-1.4162,-1.4162,-1.4141,-1.4042,-1.41,-1.4189,-1.4131,-1.4144,-1.4115,-1.4137,-1.4137,-1.4121,-1.4117,-1.4126,-1.411,-1.4116,-1.4116,-1.413
4,-0.014434,-0.015217,-0.015038,-0.015677,-0.013744,-0.014703,-0.014803,-0.014991,-0.014871,-0.014885,-0.014533,-0.014757,-0.014819,-0.01457,-0.014766,-0.014672,-0.014725,-0.014763,-0.014783,-0.014661,-0.014679,-0.014685,-0.014824,-0.014697,-0.014683,-0.014728,-0.014644,-0.014754,-0.014747,-0.014717,-0.014765,-0.014671,-0.01469,-0.014758,-0.014681,-0.014731,-0.014753,-0.014753,-0.014717,-0.014631,-0.014701,-0.014771,-0.014705,-0.014731,-0.014709,-0.014725,-0.014725,-0.014712,-0.014708,-0.014702,-0.014694,-0.014721,-0.014721,-0.014707
5,11.703,11.526,11.583,11.691,11.797,11.795,11.743,11.793,11.77,11.765,11.77,11.785,11.769,11.777,11.78,11.776,11.782,11.774,11.777,11.776,11.779,11.775,11.775,11.776,11.775,11.776,11.776,11.774,11.775,11.776,11.776,11.776,11.775,11.776,11.776,11.775,11.775,11.775,11.776,11.776,11.776,11.776,11.776,11.776,11.776,11.776,11.776,11.775,11.776,11.776,11.776,11.776,11.776,11.776
6,0.43808,0.17598,0.54394,0.67519,0.59382,0.53915,0.50347,0.48999,0.49572,0.49245,0.49493,0.49918,0.49164,0.4881,0.49681,0.49962,0.49115,0.50291,0.49779,0.49983,0.49694,0.49804,0.49824,0.49794,0.50039,0.49832,0.49686,0.49905,0.49855,0.49806,0.49817,0.49809,0.49875,0.49779,0.49842,0.49847,0.49837,0.49837,0.49832,0.49829,0.4982,0.49848,0.49814,0.49823,0.49831,0.49848,0.49832,0.49847,0.49838,0.49831,0.49829,0.49838,0.49838,0.49839
7,0.086857,0.074592,0.091878,0.090463,0.091135,0.092258,0.09142,0.091135,0.089902,0.09202,0.090528,0.092372,0.093204,0.093021,0.090342,0.092048,0.089932,0.090641,0.093525,0.092917,0.091007,0.092134,0.0925,0.091913,0.091872,0.091899,0.091754,0.092083,0.092288,0.091514,0.091719,0.091844,0.091774,0.092096,0.0918,0.091911,0.091962,0.091962,0.091936,0.091932,0.09189,0.091871,0.091829,0.091864,0.091886,0.091956,0.091955,0.0919,0.091903,0.091883,0.091921,0.091907,0.091907,0.091904
8,8.5875e-05,0.0005433,0.0046329,0.015682,0.0092885,0.0048376,0.0049101,0.0042792,0.0046551,0.0035924,0.0047244,0.0043449,0.0027922,0.0032394,0.0053579,0.0045469,0.0048181,0.0052726,0.0032645,0.0036056,0.0047727,0.0041503,0.0039924,0.0043057,0.0044578,0.0044242,0.0042956,0.0042629,0.0040541,0.0045829,0.0043937,0.0042293,0.0043642,0.0042658,0.0043721,0.004326,0.0040998,0.0040998,0.0042849,0.0042943,0.0042884,0.0042798,0.0043715,0.0043191,0.0043239,0.0042096,0.0042977,0.0042616,0.0043219,0.0042762,0.0042789,0.0043468,0.0043468,0.0043563
9,0.010089,0.0001515,0.0053468,0.0067819,0.0024376,0.0036365,0.0011604,0.0011223,0.0017294,0.00092015,0.00082176,0.00076423,0.0009531,0.00090095,0.00060827,0.00055946,0.00071546,0.00058241,0.00065288,0.00056269,0.00057504,0.00049215,0.00044799,0.00045693,0.00036221,0.00035863,0.00053314,0.00043536,0.00051,0.00044819,0.00054507,0.00055216,0.00049139,0.00038888,0.00044771,0.0004653,0.00066704,0.00066704,0.00050124,0.0004579,0.00052677,0.00051574,0.00046105,0.00050974,0.00046799,0.00054103,0.00045881,0.00051024,0.00046555,0.00051363,0.00048849,0.00043854,0.00043854,0.00042337
10,-1.5166e-06,0.00040456,0.000188,0.00063469,0.00016916,-4.5629e-05,0.00033204,0.00043793,0.00037419,0.00057686,0.00060527,0.0005013,0.00069888,0.00060309,0.00070276,0.00069209,0.00085863,0.00079487,0.0006888,0.00075148,0.0007843,0.0008029,0.00077663,0.00084435,0.00086299,0.0008782,0.00081574,0.00080912,0.00083132,0.00083789,0.00080659,0.00079567,0.00081045,0.00083569,0.00083517,0.00082055,0.00072556,0.00072556,0.00081092,0.00081127,0.00080824,0.0008137,0.00082091,0.00078869,0.000819,0.00076522,0.00080248,0.00077475,0.00079912,0.00078411,0.00080898,0.00085766,0.00085766,0.0008396
11,-0.00071987,0.00022717,0.00041021,0.00085616,0.00012122,0.00022772,0.00025071,9.523e-05,0.00013275,0.00014937,0.00028437,0.00020477,0.00025545,0.00014977,0.00015669,0.00010436,9.9652e-05,0.00012055,0.00021135,0.00019481,0.00013685,0.00013781,0.00016189,0.00010773,0.0001084,6.103e-05,0.00013322,0.00012555,0.00011728,0.00010709,0.00013882,0.00016441,0.000149,0.00011359,0.00012327,0.00012568,0.00022517,0.00022517,0.0001383,0.00014196,0.00013825,0.00013425,0.00013053,0.0001599,0.00013277,0.0001918,0.00015038,0.00017997,0.00015297,0.00017031,0.00014678,9.163e-05,9.163e-05,0.00011015
12,0.00060205,0.00019021,7.7402e-05,9.0571e-05,0.00010614,0.00012521,0.00012702,0.00016892,0.00018533,0.00013547,0.00013578,8.6701e-05,6.6439e-05,0.00012259,0.00012023,0.00011801,0.00010852,0.00013366,8.3742e-05,9.8072e-05,0.00010692,9.8265e-05,9.6086e-05,0.00011014,0.00011776,0.00010926,0.00010265,0.00011233,9.3012e-05,0.00010704,9.8749e-05,9.678e-05,0.00010775,0.00010167,0.00010618,0.00010283,9.6056e-05,9.6056e-05,9.5633e-05,9.7053e-05,9.6117e-05,9.672e-05,0.00010069,9.4976e-05,0.00010529,9.8148e-05,9.9035e-05,9.6857e-05,0.00010031,9.5119e-05,9.8945e-05,0.00010257,0.00010257,0.00010162
13,0.00015745,1.9227e-05,0.00017332,0.00017856,1.6367e-05,7.5215e-05,3.998e-05,3.4875e-06,4.3559e-06,2.0242e-05,3.1874e-05,3.6154e-05,3.15e-05,1.6014e-05,1.941e-05,2.5432e-05,1.7189e-05,1.3877e-05,2.9616e-05,2.15e-05,2.7238e-05,2.544e-05,2.057e-05,1.5404e-05,1.4805e-05,1.3618e-05,2.0653e-05,1.5474e-05,2.6682e-05,1.7317e-05,2.3929e-05,2.6518e-05,1.939e-05,1.9364e-05,2.0067e-05,2.1514e-05,2.7139e-05,2.7139e-05,2.6647e-05,2.3605e-05,2.5993e-05,2.6846e-05,2.1362e-05,2.5662e-05,1.9193e-05,2.4826e-05,2.3881e-05,2.583e-05,2.2075e-05,2.6542e-05,2.3579e-05,2.0578e-05,2.0578e-05,2.1372e-05
14,0.00022281,1.0869e-05,4.3695e-05,1.1365e-05,1.8692e-05,2.5555e-05,6.7269e-06,,,7.0382e-06,6.8767e-06,8.699e-06,5.4356e-06,6.2854e-06,7.1133e-06,6.8347e-06,6.0228e-06,7.2804e-06,5.9639e-06,4.9124e-06,5.5275e-06,5.2067e-06,5.0523e-06,5.253e-06,6.3931e-06,5.9056e-06,5.1994e-06,5.1972e-06,5.5849e-06,5.2835e-06,5.3542e-06,5.3245e-06,5.2503e-06,5.1627e-06,5.2516e-06,5.3108e-06,4.8903e-06,4.8903e-06,5.4013e-06,5.4682e-06,5.2432e-06,5.477e-06,5.2934e-06,5.3002e-06,5.1155e-06,5.2097e-06,5.3942e-06,5.338e-06,5.2624e-06,5.3944e-06,5.2384e-06,5.2358e-06,5.2358e-06,5.3204e-06
15,2.3181e-05,2.4111e-06,3.3651e-05,3.488e-05,1.6414e-06,1.9035e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6.1678e-05,,1.4355e-06,3.7893e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,-6.9514e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
